"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dawid Adam KOSTEMPSKI";"Henryk Krzysztof MERCIK";"Leon SWACZYNA";"Dorota Jolanta TOBISZOWSKA"
"212c-38fe-3774-aacf-9fca-98c3-8963-d3fc";"246301";"74";"1";"miasto";"stały";"Szkoła Podstawowa Nr 25, ul. Główna 21, 41-503 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1732";"635";"965";"0";"4";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"19";"3";"16";"0";"946";"169";"274";"180";"323"
"be38-c535-b8ef-25ad-036a-51c2-e292-e6d3";"246301";"74";"2";"miasto";"stały";"Szkoła Podstawowa Nr 24, ul. 17 Sierpnia 1, 41-503 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"800";"896";"261";"539";"0";"3";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"2";"0";"2";"0";"537";"110";"157";"99";"171"
"6025-9d9a-81a1-7fa0-32d9-338e-aff2-8b1c";"246301";"74";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 2, ul. Harcerska 2, 41-503 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1999";"2182";"621";"1378";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1378";"0";"0";"1378";"17";"5";"12";"0";"1361";"296";"452";"195";"418"
"6b18-7bb5-5679-db74-fbb6-7244-aeeb-9b49";"246301";"74";"4";"miasto";"stały";"Szkoła Podstawowa Nr 29, ul. Lwowska 36, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1500";"1636";"439";"1061";"6";"10";"0";"0";"0";"0";"0";"0";"0";"1061";"0";"0";"1061";"11";"0";"11";"0";"1050";"230";"373";"177";"270"
"54d3-3030-508a-a65f-74ce-359a-0f64-45d6";"246301";"74";"5";"miasto";"stały";"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1344";"540";"660";"2";"4";"0";"0";"0";"0";"0";"0";"0";"660";"0";"0";"660";"16";"6";"10";"0";"644";"129";"171";"100";"244"
"e9b7-d6cd-e080-ee23-c152-4a82-4ac4-fadb";"246301";"74";"6";"miasto";"stały";"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1400";"1512";"376";"1024";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"11";"1";"10";"0";"1012";"204";"388";"134";"286"
"12a1-eb0c-a82a-840a-6e0f-4a89-c005-4381";"246301";"74";"7";"miasto";"stały";"Szkoła Podstawowa Nr 39, ul. 11 Listopada 21, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1350";"1514";"451";"899";"0";"1";"1";"1";"0";"0";"0";"0";"1";"900";"1";"0";"900";"20";"2";"18";"0";"880";"190";"261";"145";"284"
"d5a5-6ff4-cd4a-7998-cdca-d4ba-bcac-8d32";"246301";"74";"8";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1283";"612";"588";"1";"4";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"7";"1";"6";"0";"581";"123";"123";"122";"213"
"8b33-dc0a-8c43-d5bf-6b89-bf24-ea4d-d70e";"246301";"74";"9";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1350";"1481";"323";"1027";"1";"4";"1";"1";"0";"0";"0";"0";"1";"1028";"1";"0";"1028";"18";"7";"11";"0";"1010";"198";"357";"121";"334"
"5a60-e9ad-d7c0-cd99-28e7-83c5-3d10-0407";"246301";"74";"10";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Łagiewnicka 18, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1300";"1438";"356";"944";"2";"3";"0";"0";"0";"0";"0";"0";"0";"944";"0";"0";"944";"16";"6";"10";"0";"928";"169";"341";"146";"272"
"86ed-5551-314a-a704-9af7-e7fd-34eb-06c1";"246301";"74";"11";"miasto";"stały";"Zespół Szkół Technicznych i Ogólnokształcących Nr 4, ul. Św. Piotra 1, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1549";"1680";"753";"796";"1";"5";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"8";"2";"6";"0";"788";"136";"217";"149";"286"
"a340-34d8-12fe-c7fe-332c-41a4-6ae2-74f9";"246301";"74";"12";"miasto";"stały";"Zespół Szkół Specjalnych Nr 3, ul. 3 Maja 16, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1400";"1518";"714";"686";"0";"0";"0";"0";"0";"0";"0";"0";"0";"686";"0";"0";"686";"12";"1";"11";"0";"674";"145";"176";"118";"235"
"7799-05b9-65a7-b0d2-6499-7c94-7926-7ed1";"246301";"74";"13";"miasto";"stały";"Zespół Szkół Specjalnych Nr 3, ul. 3 Maja 16, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1650";"1768";"657";"993";"1";"3";"0";"0";"0";"0";"0";"0";"0";"993";"0";"0";"993";"19";"1";"18";"0";"974";"184";"297";"144";"349"
"20ac-805e-1659-ac15-e244-d1da-11e4-2bb2";"246301";"74";"14";"miasto";"stały";"Szkoła Podstawowa Nr 15, ul. 3 Maja 78, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1550";"1754";"509";"1041";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1041";"0";"0";"1041";"20";"5";"15";"0";"1021";"228";"303";"153";"337"
"de53-874e-b2c7-714b-44cc-3cf0-76f3-39fe";"246301";"74";"15";"miasto";"stały";"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1800";"1973";"630";"1170";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1170";"0";"0";"1170";"40";"8";"32";"0";"1130";"247";"365";"146";"372"
"7c0e-ac18-84ae-d42a-5ed0-c168-5466-6a44";"246301";"74";"16";"miasto";"stały";"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1743";"413";"1187";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"18";"5";"13";"0";"1169";"216";"371";"176";"406"
"6edb-917f-c470-4108-e64f-9159-83af-a13b";"246301";"74";"17";"miasto";"stały";"Szkoła Podstawowa Nr 38, ul. Śląska 3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1700";"1861";"461";"1239";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1238";"0";"0";"1238";"23";"9";"14";"0";"1215";"207";"420";"155";"433"
"6133-39cc-7f9d-5b37-e1ff-1bff-956e-1ea7";"246301";"74";"18";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Dr Wincentego Styczyńskiego 32, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1700";"1837";"749";"951";"0";"2";"0";"0";"0";"0";"0";"0";"0";"951";"0";"1";"950";"29";"4";"25";"0";"921";"177";"261";"130";"353"
"29cb-3396-c684-30e4-d7c7-4ca3-8c81-844d";"246301";"74";"19";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Dr Wincentego Styczyńskiego 32, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1700";"1844";"606";"1094";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1093";"0";"0";"1093";"23";"8";"15";"0";"1070";"237";"319";"174";"340"
"0d6f-9125-31a6-733a-8eb1-f5c9-d920-9c9b";"246301";"74";"20";"miasto";"stały";"Zespół Szkół Budowlanych, ul. gen. H. Dąbrowskiego 53, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1250";"1373";"401";"849";"0";"9";"0";"0";"0";"0";"0";"0";"0";"849";"0";"0";"849";"11";"4";"7";"0";"838";"158";"291";"103";"286"
"76af-4edc-fc09-c472-fefc-2e5d-1162-a268";"246301";"74";"21";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Gen. Henryka Dąbrowskiego 41, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"800";"860";"415";"385";"0";"3";"0";"0";"0";"0";"0";"0";"0";"385";"0";"0";"385";"14";"3";"11";"0";"371";"92";"100";"58";"121"
"9322-3e11-fdb9-691d-2788-52b8-0628-9035";"246301";"74";"22";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Gen. Henryka Dąbrowskiego 41, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1308";"277";"923";"1";"1";"0";"0";"0";"0";"0";"0";"0";"923";"0";"0";"923";"14";"4";"10";"0";"909";"198";"331";"111";"269"
"cb73-04e7-d67b-0846-0b35-1053-84df-f7ba";"246301";"74";"23";"miasto";"stały";"Zespól Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1050";"1159";"523";"527";"0";"1";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"13";"2";"11";"0";"514";"122";"166";"74";"152"
"3360-b95a-c1b9-ebf5-b516-2268-80a8-8224";"246301";"74";"24";"miasto";"stały";"Zespół Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"900";"990";"378";"522";"1";"2";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"16";"3";"13";"0";"506";"106";"174";"92";"134"
